serial_no,game_id,title,release_date,release_year,all_genres,theme,art_style,view_dimension,game_mode,is_multiplayer,controls,developers,publishers,all_platforms,platform_count,esrb_rating,user_rating,metacritic,ratings_count,reviews_count,library_count,avg_playtime_hours,achievements_count,game_series_count,status_owned,status_beaten,status_playing,status_dropped,status_toplay,status_yet,all_tags,available_stores,cover_image_url,official_website,url_slug,description_clean,popularity_score,engagement_score,decade,is_multi_platform,rating_tier,metacritic_tier
1,3498,Grand Theft Auto V,2013-09-17,2013.0,Action,Crime,Realistic,3D,Single & Multiplayer,1,Controller,Rockstar North|Rockstar Games,Rockstar Games,PC|PlayStation 5|Xbox Series S/X|PlayStation 4|PlayStation 3|Xbox 360|Xbox One,7.0,M — Mature (17+),4.47,92.0,7153.0,7268.0,22126.0,74.0,539.0,12.0,12740,6283,757,1162,630,554,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod,Steam|PlayStation Store|Epic Games|Xbox 360 Store|Xbox Store,https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg,http://www.rockstargames.com/V/,grand-theft-auto-v,"Rockstar Games went bigger, since their previous installment of the series. You get the complicated and realistic world-building from Liberty City of GTA4 in the setting of lively and diverse Los Santos, from an old fan favorite GTA San Andreas. 561 different vehicles (including every transport you can operate) and the amount is rising with every update. Simultaneous storytelling from three unique perspectives: Follow Michael, ex-criminal living his life of leisure away from the past, Franklin, a kid that seeks the better future, and Trevor, the exact past Michael is trying to run away from. GTA Online will provide a lot of additional challenge even for the experienced players, coming fresh from the story mode. Now you will have other players around that can help you just as likely as ruin your mission. Every GTA mechanic up to date can be experienced by players through the unique customizable character, and community content paired with the leveling system tends to keep everyone busy and engaged.",96.28,21.75,2010s,1,excellent,universal_acclaim
2,3328,The Witcher 3: Wild Hunt,2015-05-18,2015.0,Action|RPG,Fantasy,Realistic,3D,Singleplayer,0,Controller,CD PROJEKT RED,CD PROJEKT RED,Xbox Series S/X|PlayStation 5|macOS|PlayStation 4|Nintendo Switch|PC|Xbox One,7.0,M — Mature (17+),4.64,92.0,6960.0,7073.0,21788.0,43.0,684.0,9.0,12744,5128,895,997,843,1181,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings,GOG|PlayStation Store|Steam|Xbox Store|Nintendo Store,https://media.rawg.io/media/games/618/618c2031a07bbff6b4f611f10b6bcdbc.jpg,https://thewitcher.com/en/witcher3,the-witcher-3-wild-hunt,"The third game in a series, it holds nothing back from the player. Open world adventures of the renowned monster slayer Geralt of Rivia are now even on a larger scale. Following the source material more accurately, this time Geralt is trying to find the child of the prophecy, Ciri while making a quick coin from various contracts on the side. Great attention to the world building above all creates an immersive story, where your decisions will shape the world around you. CD Project Red are infamous for the amount of work they put into their games, and it shows, because aside from classic third-person action RPG base game they provided 2 massive DLCs with unique questlines and 16 smaller DLCs, containing extra quests and items. Players praise the game for its atmosphere and a wide open world that finds the balance between fantasy elements and realistic and believable mechanics, and the game deserved numerous awards for every aspect of the game, from music to direction.",95.81,17.19,2010s,1,masterpiece,universal_acclaim
3,4200,Portal 2,2011-04-18,2011.0,Shooter|Puzzle,Sci-Fi,Realistic,3D,Single & Multiplayer,1,Controller,Valve Software,Electronic Arts|Valve,PlayStation 3|PC|Xbox 360|Linux|macOS|Xbox One,6.0,E10+ — Everyone 10+,4.59,95.0,5941.0,5997.0,20625.0,11.0,152.0,3.0,13033,5740,162,630,398,662,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science,Xbox Store|Steam|PlayStation Store|Xbox 360 Store,https://media.rawg.io/media/games/2ba/2bac0e87cf45e5b508f227d281c9252a.jpg,http://www.thinkwithportals.com/,portal-2,"Portal 2 is a first-person puzzle game developed by Valve Corporation and released on April 19, 2011 on Steam, PS3 and Xbox 360. It was published by Valve Corporation in digital form and by Electronic Arts in physical form. Its plot directly follows the first games, taking place in the Half-Life universe. You play as Chell, a test subject in a research facility formerly ran by the company Aperture Science, but taken over by an evil AI that turned upon its creators, GladOS. After defeating GladOS at the end of the first game but failing to escape the facility, Chell is woken up from a stasis chamber by an AI personality core, Wheatley, as the unkempt complex is falling apart. As the two attempt to navigate through the ruins and escape, they stumble upon GladOS, and accidentally re-activate her... Portal 2s core mechanics are very similar to the first games the player must make their way through several test chambers which involve puzzles. For this purpose, they possess a Portal Gun, a weapon capable of creating teleportation portals on white surfaces. This seemingly simple mechanic and its subtleties coupled with the many different puzzle elements that can appear in puzzles allows the game to be easy to start playing, yet still feature profound gameplay. The sequel adds several new puzzle elements, such as gel that can render surfaces bouncy or allow you to accelerate when running on them. The game is often praised for its gameplay, its memorable dialogue and writing and its aesthetic. Both games in the series are responsible for inspiring most puzzle games succeeding them, particularly first-person puzzle games. The series, its characters and even its items such as the portal gun and the companion cube have become a cultural icon within gaming communities. Portal 2 also features a co-op mode where two players take on the roles of robots being led through tests by GladOS, as well as an in-depth level editor.",91.26,15.24,2010s,1,masterpiece,universal_acclaim
4,4291,Counter-Strike: Global Offensive,2012-08-21,2012.0,Shooter,Horror,Realistic,3D,Multiplayer,1,Controller,Valve Software|Hidden Path Entertainment,Valve,PC|Linux|Xbox 360|PlayStation 3,4.0,M — Mature (17+),3.57,81.0,3586.0,3624.0,18284.0,64.0,179.0,5.0,14089,1117,631,2101,79,267,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading,PlayStation Store|Steam|Xbox 360 Store,https://media.rawg.io/media/games/736/73619bd336c894d6941d926bfd563946.jpg,http://blog.counter-strike.net/,counter-strike-global-offensive,"Counter-Strike is a multiplayer phenomenon in its simplicity. No complicated narratives to explain the source of the conflict, no futuristic and alien threats, but counter-terrorists against terrorists. Arena shooter at its core, CS:GO provides you with various methods of disposing enemies and reliant on cooperation within the team. During the round of the classical clash mode, you will gradually receive currency to purchase different equipment. Each player can carry a primary weapon, secondary pistol, knife and a set of grenades, which all can change the battle if wielded by the skilled player. Objectives are clear and vary from map to map, from game mode to game mode. Stop the terrorists from planting explosives, stop the counter-terrorist from retrieving the hostages, kill everyone who isnt you and just perform the best with. CS:GO is one of the major cybersport discipline, which makes playing it more exciting to some players. Aside from purchasing the game, CS:GO is infamous for its loot case system, that requires players to purchase keys, in order to open said cases. Customization items consist of weapon skins, weapon stickers, and sprays that do not affect gameplay and have purely visual value to the player.",73.56,8.79,2010s,1,good,generally_favorable
5,5286,Tomb Raider (2013),2013-03-05,2013.0,Action,Adventure,Realistic,3D,Single & Multiplayer,1,Controller,Crystal Dynamics,Square Enix,PlayStation 3|Xbox 360|macOS|PC|Xbox One|PlayStation 4,6.0,M — Mature (17+),4.06,86.0,4018.0,4050.0,17627.0,10.0,148.0,23.0,11552,4422,115,559,286,693,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft,Xbox 360 Store|Steam|PlayStation Store|Google Play|App Store|Epic Games,https://media.rawg.io/media/games/021/021c4e21a1824d2526f925eff6324653.jpg,http://www.tombraider.com,tomb-raider,"A cinematic revival of the series in its action third person form, Tomb Rider follows Lara in her least experience period of life her youth. Heavily influenced by Naughty Dogs Uncharted, the game is a mix of everything, from stealth and survival to combat and QTE action scenes. Young Lara Croft arrives on the Yamatai, lost island near Japan, as the leader of the expedition in search of the Yamatai Kingdom, with a diverse team of specialists. But shipwreck postponed the successful arrival and seemingly forgotten island is heavily populated with hostile inhabitants, cultists of Solarii Brotherhood. The game will be graphic at times, especially after failed QTEs during some of the survival scenes, but overall players will enjoy classic action adventure, reminiscent of the beginning of the series. This game is not a direct sequel or continuation of existing sub-series within the franchise, but a reboot, setting up Tomb Raider to represent modern gaming experience. The game has RPG elements and has a world, which you can explore during the story campaign and after the completion. As well as multiplayer mode, where 2 teams (4 scavengers and 4 survivors) are clashing in 3 game modes while using weapons and environments from the single-player campaign.",76.54,13.77,2010s,1,excellent,generally_favorable
6,13536,Portal,2007-10-09,2007.0,Action|Puzzle,Sci-Fi,Realistic,3D,Singleplayer,0,Controller,Valve Software|NVIDIA Lightspeed Studios,Valve|Buka Entertainment|NVIDIA|CyberFront,macOS|PC|Android|PlayStation 3|Xbox 360|Linux|Nintendo Switch,7.0,T — Teen (13+),4.49,90.0,4896.0,4940.0,17582.0,4.0,15.0,3.0,11105,5216,86,422,285,468,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science,Steam|Google Play,https://media.rawg.io/media/games/7fa/7fa0b586293c5861ee32490e953a4996.jpg,http://www.whatistheorangebox.com/,portal,"Every single time you click your mouse while holding a gun, you expect bullets to fly and enemies to fall. But here you will try out the FPS game filled with environmental puzzles and engaging story. Silent template for your adventures, Chell, wakes up in a testing facility. Shes a subject of experiments on instant travel device, supervised by snarky and hostile GLaDOS. Players will have to complete the tests, room by room, expecting either reward, freedom or more tests. By using the gun, that shoots portals (Portal-Gun), players will move blocks, travel great distance quickly and learn about your current situation, which is unraveled through environmental storytelling. What you will be told might be different from what you will see. White environments will guide the players portal placement, forcing them to pay attention to the surroundings. Portal creates tension, allowing either solving puzzles at your own leisure or moving quickly, due to the time limit or threats.",81.43,15.2,2000s,1,excellent,universal_acclaim
7,12020,Left 4 Dead 2,2009-11-17,2009.0,Action|Shooter,Horror,Realistic,3D,Single & Multiplayer,1,Controller,Valve Software|Turtle Rock Studios,Electronic Arts|Valve|Akella,Xbox 360|Linux|PC|macOS,4.0,M — Mature (17+),4.09,89.0,3355.0,3380.0,17398.0,9.0,166.0,2.0,12885,2613,154,1236,116,394,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK,Steam|Xbox 360 Store,https://media.rawg.io/media/games/d58/d588947d4286e7b5e0e12e1bea7d9844.jpg,http://www.l4d.com,left-4-dead-2,"Cooperative survival continues with a different set of characters. New survivors are making their way through 5 campaigns with an added ability to play through the story of the first game as well, using not only expanded arsenal of 20 ranged and 10 melee weapons but improved AI Director. Your surroundings and weather will change enemy and item placement will differ from map to map, from difficulty to difficulty. New unique special zombies, placed in the unlucky for the player spot, can end your run. High compatibility with community mods will allow you not only to add user-created maps but player models, enemy models, and even in-game music, which will help any player to create the unique experience on top of solid game mechanics. Competitive multiplayer mods from arena survival to a head-on competition with another team of survivors are addictive and, in addition to the campaign, will provide you with hundreds of hours of game content.",74.99,8.71,2000s,1,excellent,generally_favorable
8,5679,The Elder Scrolls V: Skyrim,2011-11-11,2011.0,Action|RPG,Fantasy,Realistic,3D,Singleplayer,0,Controller,Bethesda Game Studios,Bethesda Softworks,PC|Xbox Series S/X|PlayStation 5|Xbox One|PlayStation 4|Nintendo Switch|Xbox 360|PlayStation 3,8.0,M — Mature (17+),4.42,94.0,4803.0,4856.0,16593.0,46.0,302.0,15.0,9942,3937,402,1366,431,515,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons,PlayStation Store|Steam|Nintendo Store|Xbox 360 Store,https://media.rawg.io/media/games/7cf/7cfc9220b401b7a300e409e539c9afd5.jpg,http://elderscrolls.com/,the-elder-scrolls-v-skyrim,"The fifth game in the series, Skyrim takes us on a journey through the coldest region of Cyrodiil. Once again player can traverse the open world RPG armed with various medieval weapons and magic, to become a hero of Nordic legends Dovahkiin, the Dragonborn. After mandatory character creation players will have to escape not only imprisonment but a fire-breathing dragon. Something Skyrim hasnt seen in centuries.",79.91,16.47,2010s,1,excellent,universal_acclaim
9,28,Red Dead Redemption 2,2018-10-26,2018.0,Action,Crime,Realistic,3D,Single & Multiplayer,1,Controller,Rockstar Games,Rockstar Games,PC|PlayStation 4|Xbox One,3.0,M — Mature (17+),4.59,96.0,5292.0,5416.0,16450.0,21.0,278.0,3.0,8666,3436,949,746,1658,995,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Mature|Realistic|Historical|Cinematic|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person,PlayStation Store|Epic Games|Steam|Xbox Store,https://media.rawg.io/media/games/511/5118aff5091cb3efec399c808f8c598f.jpg,https://www.rockstargames.com/reddeadredemption2/,red-dead-redemption-2,"America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him. From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age.",82.1,12.94,2010s,1,masterpiece,universal_acclaim
10,4062,BioShock Infinite,2013-03-26,2013.0,Action|Shooter,Sci-Fi,Realistic,3D,Singleplayer,0,Controller,Aspyr Media|2K Australia|Irrational Games,2K Games|Aspyr,PlayStation 4|Xbox 360|Nintendo Switch|Linux|PC|PlayStation 3|Xbox One,7.0,M — Mature (17+),4.38,94.0,4121.0,4163.0,15962.0,12.0,370.0,8.0,9610,4446,102,518,438,848,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political,Epic Games|App Store|Xbox Store|Nintendo Store|PlayStation Store|Steam|Xbox 360 Store,https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg,https://2k.com/en-US/game/bioshock-infinite,bioshock-infinite,"The third game in the series, Bioshock takes the story of the underwater confinement within the lost city of Rapture and takes it in the sky-city of Columbia. Players will follow Booker DeWitt, a private eye with a military past as he will attempt to wipe his debts with the only skill hes good at finding people. Aside from obvious story and style differences, this time Bioshock protagonist has a personality, character, and voice, no longer the protagonist is a silent man, trying to survive. Open and bright level design of Columbia shows industrial colonial America in a seemingly endless carnival. But Bioshock is not famous for its visuals, but for its story. Mystery and creative vision of Irrational Games invite players to uncover the secrets of Columbias leader - Zachary Comstock and save Elizabeth, the girl, thats been locked up in the flying city since her birth. Unique weapons and mechanics of Vigor will make encounters different, helping players to adjust to the new found mobility and hook shot, making fights fast-paced and imaginative.",76.7,15.94,2010s,1,excellent,universal_acclaim
